DOLA Tax Entity Name:,Tax Entity ID:,Certifying County:,2026 Budget Year Total Levy (2025 Tax Year),2026 Budget Year Net Assessed Value (2025 Tax Year)
Mancos RE-6 School District,42902/1,Montezuma,34.776,75555701
Mancos Water Conservancy District,42015/1,Montezuma,6.643,50276610
Mandatory Dove Creek Pest Control District,17009/1,Dolores,1.311,71294776
Manitou Springs,21030/1,El Paso,13,114618930
Manitou Springs 14 School District,21906/1,El Paso,58.803,222587990
Manitou Springs Metropolitan District,21081/1,El Paso,0.361,14016990
Manitou Springs Urban Renewal Authority,65851/1,El Paso,0,0
Manitou Springs Urban Renewal Authority - East Corridor Urban Renewal Area,65851/2,El Paso,0,4102980
Mansfield Heights Water & Sanitation District,03057/1,Arapahoe,0,24098714
Manzanola,45009/1,Otero,26.99,1297680
Manzanola 3J School District,64941/1,Crowley,26.729,1337237
Manzanola 3J School District,64941/1,Otero,26.82,10784552
Manzanola Rural Fire Protection District,45008/1,Otero,4.532,8411326
Maple Ridge Metropolitan District,66719/1,Weld,47.5,3355050
Mapleton 1 School District,01900/1,Adams,53.724,1388169355
Marabou Ranch Metropolitan District,66989/1,Routt,7,7054840
Marble,26010/1,Gunnison,6.505,6256130
Marin Metropolitan District,65904/1,Arapahoe,0,1747789
Market Station Metropolitan District No. 1,66141/1,Denver,16.111,3501205
Market Station Metropolitan District No. 2,66142/1,Denver,0,760262
Marketplace Metropolitan District,65593/1,Weld,53.281,1406470
Marks Butte Groundwater Management District,58005/1,Sedgwick,0.322,20467740
Marshall Lake Metropolitan District,65500/1,Adams,0,0
Marvella Metropolitan District,65789/1,Arapahoe,76.215,6591802
Maybell Irrigation District,41012/1,Moffat,750,49570
"Mayberry, Colorado Springs Metropolitan District No. 1",65781/1,El Paso,0,4339630
"Mayberry, Colorado Springs Metropolitan District No. 2",67306/1,El Paso,44.576,790290
"Mayberry, Colorado Springs Metropolitan District No. 3",67401/1,El Paso,79.878,3482460
"Mayberry, Colorado Springs Metropolitan District No. 4",67402/1,El Paso,0,1470
"Mayberry, Colorado Springs Metropolitan District No. 5",67403/1,El Paso,0,340
"Mayberry, Colorado Springs Metropolitan District No. 6",67404/1,El Paso,0,20
"Mayberry, Colorado Springs Metropolitan District No. 7",67405/1,El Paso,0,20
"Mayberry, Colorado Springs Metropolitan District No. 8",67406/1,El Paso,0,400
Mayfield Metropolitan District,65626/1,Adams,78.798,13470320
McArthur Ranch Metropolitan Recreation District,18024/1,Douglas,3.053,11088260
McClave RE-2 School District,06901/1,Bent,46.657,27379970
McKay Landing Metropolitan District No. 2,01080/1,Broomfield,28.7,35274830
Mead,62040/1,Weld,11.522,217449269
Mead Place Metropolitan District No. 1,66127/1,Weld,0,350
Mead Place Metropolitan District No. 10,67649/1,Weld,0,350
Mead Place Metropolitan District No. 11,67650/1,Weld,0,350
Mead Place Metropolitan District No. 12,67651/1,Weld,0,350
Mead Place Metropolitan District No. 2,66128/1,Weld,13.962,28987
Mead Place Metropolitan District No. 3,66129/1,Weld,47.917,1769
Mead Place Metropolitan District No. 4,66130/1,Weld,48.234,5456
Mead Place Metropolitan District No. 5,66131/1,Weld,48.125,3594
Mead Place Metropolitan District No. 6,66132/1,Weld,0,570
Mead Place Metropolitan District No. 7,67646/1,Weld,0,350
Mead Place Metropolitan District No. 8,67647/1,Weld,0,350
Mead Place Metropolitan District No. 9,67648/1,Weld,0,350
Mead Village Metropolitan District No. 1,66428/1,Weld,0,50050
Mead Village Metropolitan District No. 2,66903/1,Weld,0,13890
Mead Village Metropolitan District No. 3,66904/1,Weld,0,50
Mead Village Metropolitan District No. 4,66905/1,Weld,0,50
Mead Western Meadows Metropolitan Dist.,65594/1,Weld,41,6843640
Meadow Lake Metropolitan District No. 1,67727/1,El Paso,0,30
Meadow Lake Metropolitan District No. 2,67728/1,El Paso,0,2620
Meadow Lake Metropolitan District No. 3,67729/1,El Paso,0,350
Meadow Ridge Commercial Metropolitan District,67450/1,Weld,33.034,1094520
Meadow Ridge Metropolitan District No. 1,67447/1,Weld,0,40
Meadow Ridge Metropolitan District No. 2,67448/1,Weld,0,40
Meadow Ridge Metropolitan District No. 3,67449/1,Weld,0,40
Meadow Station Public Impr. District,65528/1,Elbert,0,0
Meadowbrook Crossing Metropolitan District,66718/1,El Paso,68.518,3633680
Meadowbrook Heights Metropolitan District,67221/1,Jefferson,95.102,4206472
Meadowbrook Water,30061/1,Jefferson,2.716,79679506
Meadowbrook-Fairview Metropolitan District,30062/1,Jefferson,2.296,79675963
Meadowlark Metropolitan District,67101/1,Douglas,54.352,11263230
Meadowood Metropolitan District,65985/1,Pitkin,5.56,50597010
Meadoworks Metropolitan District No. 1,67568/1,El Paso,21.46,30
Meadoworks Metropolitan District No. 2,67569/1,El Paso,75.149,467750
Meadoworks Metropolitan District No. 3,67570/1,El Paso,21.46,30
Meadoworks Metropolitan District No. 4,67571/1,El Paso,21.46,30
Meadoworks Metropolitan District No. 5,67572/1,El Paso,20.809,4040
Meadoworks Park and Recreation District,68132/1,El Paso,10.74,450230
Meadows Metropolitan District No. 1,18056/1,Douglas,35,71883230
Meadows Metropolitan District No. 2,18057/1,Douglas,35,51268930
Meadows Metropolitan District No. 3,18058/1,Douglas,35,50065820
Meadows Metropolitan District No. 4,18059/1,Douglas,35,2030
Meadows Metropolitan District No. 4 - Debt Service (Exclusion),18059/2,Douglas,35,7431070
Meadows Metropolitan District No. 5,18060/1,Douglas,35,64282860
Meadows Metropolitan District No. 6,18061/1,Douglas,35,85436720
Meadows Metropolitan District No. 7,18062/1,Douglas,35,67387080
Meeker,52007/1,Rio Blanco,9.781,30607160
Meeker Cemetery District,52004/1,Rio Blanco,0.867,440955330
Meeker RE1 School District,52900/1,Rio Blanco,16.991,446528900
Meeker Regional Library District,52005/1,Rio Blanco,0.5,440955330
Meeker Sanitation District,52006/1,Rio Blanco,9.47,28844820
Mental Health,35015/8,Larimer,0,9180256613
Mental Health,57010/12,San Miguel,0.75,1553350990
Meridian Metropolitan District,18022/1,Douglas,0,0
Meridian Metropolitan District,67704/1,Douglas,58.659,158406420
Meridian Metropolitan District - Consolidated Debt Service,67704/2,Douglas,27.459,925300
Meridian Metropolitan District - Consolidated Debt Service 2,67704/3,Douglas,27.459,9944640
Meridian Metropolitan District - Consolidated Debt Service 3,67704/4,Douglas,27.459,2809420
Meridian Metropolitan District - Debt Service,18022/2,Douglas,27.459,18414720
Meridian Metropolitan District - Debt Service 2,18022/3,Douglas,27.459,11302380
Meridian Ranch Metropolitan District,21106/1,El Paso,32.168,146484840
Meridian Ranch Metropolitan District 2018 Subdistrict,67046/1,El Paso,20,46902790
Meridian Service Metropolitan District,21107/1,El Paso,0,130
Meridian Village Metro. District #1,65278/1,Douglas,32,170
Meridian Village Metro. District #2,65279/1,Douglas,32,111847690
Meridian Village Metro. District #3,65280/1,Douglas,0,0
Meridian Village Metro. District #4,65281/1,Douglas,0,0
Meridian Village Metropolitan District No. 1 - Debt Service,65278/2,Douglas,0,4208760
Meridian Village Metropolitan District No. 2 - Debt Service 4600,65279/2,Douglas,0,0
Merino,38011/1,Logan,13.202,1954596
Mesa Community Center Public Improvement District,65025/1,Mesa,1,47689740
Mesa Conservation District,39025/1,Garfield,0,0
Mesa Cortina Water and Sanitation District,65084/1,Summit,0,23017260
Mesa County,39023/1,Mesa,10.52,3011181665
Mesa County Gateway Public Improvement District,66238/1,Mesa,14,6257260
Mesa County Lower Valley Public Improvement District,65370/1,Mesa,0,4177090
Mesa County Public Library District,39050/1,Mesa,2.944,3011181665
Mesa County Valley 51 School District,39903/1,Mesa,42.218,3013315750
Mesa County Whitewater Public Improvement District,65811/1,Mesa,0,2442410
Mesa County Whitewater Urban Service Public Improvement District,66154/1,Mesa,4,1163040
Mesa Ridge Metropolitan District,65999/1,Weld,0,55650
Mesa Ridge Metropolitan District No. 1,65387/1,El Paso,8.635,76420
Mesa Ridge Metropolitan District No. 2,65388/1,El Paso,58.5,12651110
Mesa Ridge Metropolitan District No. 3,68001/1,El Paso,0,1940
Mesa Ridge Metropolitan District No. 4,68002/1,El Paso,0,4300
Mesa Ridge Metropolitan District No. 5,68003/1,El Paso,0,160
Mesa Water & Sanitation District,39026/1,Mesa,6.74,2610740
Mesa-Molina Cemetery District,39027/1,Mesa,0.514,47689740
Miami/Yoder 60 JT School District,64957/1,El Paso,29.778,37653630
Miami/Yoder 60 JT School District,64957/1,Elbert,29.778,1177820
Miami/Yoder 60 JT School District,64957/1,Lincoln,29.778,14767375
Mid Valley Metropolitan District,64211/1,Eagle,0.198,259987050
Mid Valley Metropolitan District,64211/1,Garfield,0.198,15346020
MidCities Metropolitan District No. 2,07066/1,Broomfield,38.825,52446920
MidCities Metropolitan District No. 2 - CP III Exclusion Order,07066/4,Broomfield,36.977,4687910
MidCities Metropolitan District No. 2 - Filing #15 Exclusion Order,07066/3,Broomfield,36.977,2700830
MidCities Metropolitan District No. 2 - Greystar Exclusion Order,07066/2,Broomfield,30.779,10778340
MidCities Metropolitan District No. 2 - Lock at Flatiron Exclusion Order,07066/6,Boulder,0,0
MidCities Metropolitan District No. 2 - Lock at Flatiron Exclusion Order,07066/6,Broomfield,37.004,4991400
MidCities Metropolitan District No. 2 - Pathfinder Exclusion Order,07066/5,Broomfield,36.977,4352230
Middle Park Conservation District,25019/1,Grand,0,368137678
Middle Park Conservation District,25019/1,Summit,0,3562515215
Middle Park Water Conservancy District,64090/1,Grand,0.033,1532110628
Middle Park Water Conservancy District,64090/1,Summit,0.033,3562515215
Midtown Business Improvement District,66861/1,Larimer,0,0
Midtown Metropolitan District,66779/1,Denver,40,45147410
Midtown at Clear Creek Metropolitan District,67018/1,Adams,44.331,44324760
Midway Ranches Fire Protection District,66240/1,Pueblo,0,0
Mighty Argo Metropolitan District No. 1,67368/1,Clear Creek,0,0
Mighty Argo Metropolitan District No. 2,67369/1,Clear Creek,53.704,22010
Mighty Argo Metropolitan District No. 3,67370/1,Clear Creek,0,0
Mile High Business Center Metropolitan District,65511/1,Denver,26.391,42793600
Miller Ranch Metropolitan District,66038/1,Elbert,0,8480
Miller Ranch Water & Sanitation District,66039/1,Elbert,0,10
Miller's Landing Business Improvement District,66723/1,Douglas,62.577,506830
Milliken,62043/1,Weld,26.301,139938300
Milliken FPD '04 Exclusion (Bond 2024),62041/3,Weld,0,0
Mine Closure Fund,33001/10,Lake,0.279,357183687
Mineral Business Improvement District,67924/1,Arapahoe,36.333,6669279
Mineral County,40002/1,Mineral,23.166,67826608
Mineral County Fire Protection District,40003/1,Mineral,5.374,49012920
Miners Mesa Commercial Metropolitan District,24009/1,Gilpin,50,2580040
Miners Mesa Residential Metropolitan District,24010/1,Gilpin,0,0
Miners Park Metropolitan District No. 1,67761/1,Weld,0,10970
Miners Park Metropolitan District No. 2,67762/1,Weld,0,107510
Minneapolis Cemetery District,05005/1,Baca,0.411,3135498
Minturn,19024/1,Eagle,17.934,56978550
Minturn Cemetery Association,19023/1,Eagle,0.45,1858718440
Minturn Downtown Development Authority,68097/1,Eagle,0,5361990
Mirabelle Metropolitan District No. 1,18018/1,Douglas,26.851,149800
Mirabelle Metropolitan District No. 2,66756/1,Douglas,92.927,45349210
Mirabelle Metropolitan District No. 3,66757/1,Douglas,0,400
Mirabelle Metropolitan District No. 4,66758/1,Douglas,0,300
Misty Acres Metropolitan District,65498/1,El Paso,30,7840830
Moffat,55005/1,Saguache,10.407,5886632
Moffat 2 School District,55903/1,Saguache,38.025,54630192
Moffat County,41007/1,Moffat,24.108,429266702
Moffat County Affiliated Junior College District,41010/1,Moffat,3.001,429266702
Moffat County RE:No 1 School District,41900/1,Moffat,36.965,439404520
Montava Metropolitan District No. 1,67328/1,Larimer,0,2017
Montava Metropolitan District No. 2,67329/1,Larimer,0,2017
Montava Metropolitan District No. 3,67330/1,Larimer,0,2017
Montava Metropolitan District No. 4,67331/1,Larimer,0,2017
Montava Metropolitan District No. 5,67332/1,Larimer,0,2017
Montava Metropolitan District No. 6,67333/1,Larimer,0,2017
Montava Metropolitan District No. 7,67334/1,Larimer,0,2017
Monte Vista,53005/1,Rio Grande,14.74,40104311
Monte Vista C-8 School District,53901/1,Rio Grande,34.667,89452526
Monte Vista Fire Protection District,53004/1,Rio Grande,5.163,117557663
Montezuma,59028/1,Summit,3.188,4119050
Montezuma County,42017/1,Montezuma,14.254,702243750
Montezuma County Hospital District,42018/1,Montezuma,0.745,702243750
Montezuma County Law Enforcement Authority,65942/1,Montezuma,1.45,548294330
Montezuma County Water District No. 1,42019/1,Montezuma,2.867,9847420
Montezuma Mosquito Control District,42020/1,Montezuma,0.338,495526170
Montezuma-Cortez RE-1 School District,42900/1,Montezuma,30.289,570079015
Montezuma-Dolores County Metropolitan Recreation District,64092/1,Dolores,0.777,75558427
Montezuma-Dolores County Metropolitan Recreation District,64092/1,La Plata,0.777,49358150
Montezuma-Dolores County Metropolitan Recreation District,64092/1,Montezuma,0.777,691709580
