Local Government Name:,Website URL:,Mailing Address:,Alternate Address:,Mailing City:,Mailing State:,Mailing Zip:,LGID:,Local Government Type:,County:
Alpine Meadows Metropolitan District No. 1,www.stonebrakermd.com,"8390 E Crescent Parkway, Ste 300","c/o CliftonLarsonAllen, LLP",Greenwood Village,CO,80111,66112,Metropolitan Districts,Weld
Alpine Metropolitan District,www.alpine-breckmtnmetros.org,"28 Second St., Suite 213","c/o Marchetti & Weaver, LLC",Edwards,CO,81632,65154,Metropolitan Districts,Summit
Alpine Mountain Ranch Metropolitan District,,P.O. Box 773659,,Steamboat Springs,CO,80477,65762,Metropolitan Districts,Routt
"Alpine Mountain Ranch Metropolitan District, Special Improvement District No. 1",,P.O. Box 773659,,Steamboat Springs,CO,80477,66297,"Special Improvement Districts (Municipal, Incl. Storm Sewer)",Routt
Alta Vista Charter School,altavista.lamarschools.org,8785 County Road LL,,Lamar,CO,81052,67898,Charter Schools,Prowers
AltaColorado Metropolitan District No. 1,www.altacometro.org/,28 Second St Ste 213,"c/o Marchetti & Weaver, LLC",Edwards,CO,81632,66106,Metropolitan Districts,Lake
AltaColorado Metropolitan District No. 2,,1601 Poplar Street,,Leadville,CO,80461,66107,Metropolitan Districts,Lake
AltaColorado Metropolitan District No. 3,,1601 Poplar Street,,Leadville,CO,80461,66108,Metropolitan Districts,Lake
AltaColorado Metropolitan District No. 4,,1601 Poplar Street,,Leadville,CO,80461,66109,Metropolitan Districts,Lake
AltaColorado Metropolitan District No. 5,,1601 Poplar Street,,Leadville,CO,80461,66110,Metropolitan Districts,Lake
Altamira Metropolitan District No. 1,www.altamiramds.com/,"1700 Lincoln Street, Ste 2000",c/o Spencer Fane LLP,Denver,CO,80203,65409,Metropolitan Districts,Weld
Altamira Metropolitan District No. 2,www.altamiramds.com/,"1700 Lincoln Street, Ste 2000",c/o Spencer Fane LLP,Denver,CO,80203,65410,Metropolitan Districts,Weld
Altamira Metropolitan District No. 3,www.altamiramds.com/,"1700 Lincoln Street, Ste 2000",c/o Spencer Fane LLP,Denver,CO,80203,65411,Metropolitan Districts,Weld
Altamira Metropolitan District No. 4,www.altamiramds.com/,"1700 Lincoln Street, Ste 2000",c/o Spencer Fane LLP,Denver,CO,80203,65412,Metropolitan Districts,Weld
Altamira Metropolitan District No. 5,www.cospecialdistricts.com/altamira-metropolitan-district-no-5,"1151 Eagle Drive, Suite 366","c/o Law Office of Michael E. Davis, LLC",Loveland,CO,80537,65413,Metropolitan Districts,Weld
Amber Creek Metropolitan District,ambercreekmetro.org,12210 Brighton Rd #8,"c/o Wolfersberger, LLC",Henderson,CO,80640,65433,Metropolitan Districts,Adams
American Legacy Academy,www.american-legacy.org/,1870 Marina Drive,,Windsor,CO,80550,67839,Charter Schools,Weld
Amherst General Improvement District,,4800 West 92nd Avenue,c/o City of Westminster Finance Department,Westminster,CO,80031,01053,General Improvement Districts (Municipal),Adams
Andiamo Metropolitan District,www.andiamomd.com,"1700 Lincoln Street, Suite 2000","c/o Spencer Fane, LLP",Denver,CO,80203-4554,67582,Metropolitan Districts,Pueblo
Andrews Farm Metropolitan District No. 1,www.andrewsfarmmds.com/,1700 Lincoln Street Suite 2000,Spencer Fane LLP,Denver,CO,80203,66967,Metropolitan Districts,Weld
Animas High School,www.animashighschool.com,PO Box 3496,,Durango,CO,81302,67836,Charter Schools,La Plata
Animas Mosquito Control District,www.animasmosquito.com,870 County Road 252,,Durango,CO,81301,34002,Metropolitan Districts,La Plata
Animas-La Plata Water Conservancy District,,841 E 2nd Ave,,Durango,CO,81301,34003,Water Conservancy Districts,La Plata
Antelope Heights Metropolitan District,www.antelopeheightsmd.org/,"2001 16th Street, Ste. 1700 ",c/o CliftonLarsonAllen LLP,Denver,CO,80202,65098,Metropolitan Districts,Douglas
"Antelope Hills General Improvement District, Town of Bennett, CO",www.townofbennett.org,355 Fourth Street,c/o Town of Bennett,Bennett,CO,80102-7806,64265,General Improvement Districts (Municipal),"Adams, Arapahoe"
Antelope Water System General Improvement District,,13133 East Arapahoe Road,c/o City of Centennial,Centennial,CO,80112,65427,General Improvement Districts (Municipal),Arapahoe
Anthem West Metropolitan District,anthemwestmd.colorado.gov,"141 Union Boulevard, Ste 150","c/o Special District Management Services, Inc",Lakewood,CO,80228-1898,65055,Metropolitan Districts,Broomfield
Anthology West Metropolitan District No. 2,anthologywestmd.com,"7555 E. Hampden Ave., Suite 501",c/o Public Alliance LLC,Denver,CO,80231,18054,Metropolitan Districts,Douglas
Anthology West Metropolitan District No. 3,anthologywestmd.com,"7555 E. Hampden Ave., Suite 501",c/o Public Alliance LLC,Denver,CO,80231,65336,Metropolitan Districts,Douglas
Anthology West Metropolitan District No. 4,anthologywestmd.com,"7555 E. Hampden Ave., Suite 501",c/o Public Alliance LLC,Denver,CO,80231,66681,Metropolitan Districts,Douglas
Anthology West Metropolitan District No. 5,anthologywestmd.com,"7555 E. Hampden Ave., Suite 501",c/o Public Alliance LLC,Denver,CO,80231,66682,Metropolitan Districts,Douglas
Anthology West Metropolitan District No. 6,anthologywestmd.com,"7555 E. Hampden Ave., Suite 501",c/o Public Alliance LLC,Denver,CO,80231,66683,Metropolitan Districts,Douglas
Antler Creek Metropolitan District,,"4725 South Monaco Street, Suite 360","c/o Icenogle Seaver Pogue, P.C.",Denver,CO,80237,68213,Metropolitan Districts,El Paso
Antonito Housing Authority,,525 River St,,Antonito,CO,81120,11020,Housing Authorities (Municipal),Conejos
"Antonito, Town of",townofantonito.org/,PO Box 86,307 Main Street,Antonito,CO,81120,11001,Statutory Towns,Conejos
Apex Park and Recreation District,ApexPRD.org,13150 W 72nd Avenue,,Arvada,CO,80005,30138,Park & Recreation Districts,"Broomfield, Denver, Jefferson"
Appleton #3 Sanitary Sewer Improvement District MCP-14,,PO Box 20000,c/o Mesa County,Grand Junction,CO,81502-5013,65529,Local Improvement Districts (County),Mesa
Appletree Metropolitan District No. 1,www.appletreemds.com,1700 Lincoln St Ste 2000,c/o Spencer Fane LLP,Denver,CO,80203,65692,Metropolitan Districts,El Paso
Appletree Metropolitan District No. 2,www.appletreemds.com,1700 Lincoln St Ste 2000,c/o Spencer Fane  LLP,Denver,CO,80203,65693,Metropolitan Districts,El Paso
Applewood Sanitation District,www.applewoodsan.org,"3900 E. Mexico Ave, #300",,Denver,CO,80210,30002,Sanitation Districts,Jefferson
Arabian Acres Metropolitan District,arabianacresmd.colorado.gov,614 N Tejon Street,,Colorado Springs,CO,80903,65097,Metropolitan Districts,Teller
Arapahoe Cemetery District,,PO Box 135,,Arapahoe,CO,80802,09001,Cemetery Districts,Cheyenne
Arapahoe County,www.arapahoegov.com,5334 South Prince Street,,Littleton,CO,80166,03001,Counties,Arapahoe
Arapahoe County Housing Authority,,5334 South Prince Street,c/o Board of County Commissioners,Littleton,CO,80166-0001,03121,County Housing Authorities,Arapahoe
Arapahoe County Law Enforcement Authority,,5334 South Prince Street,c/o Arapahoe County Finance Department,Littleton,CO,80166,03002,Law Enforcement Authorities,Arapahoe
Arapahoe County Public Airport Authority,,7800 South Peoria Street,Box G-1,Englewood,CO,80112,03004,Airport Authorities,Arapahoe
Arapahoe County Recreation District,,5334 South Prince Street,,Littleton,CO,80166,03117,County Recreation Districts,Arapahoe
Arapahoe County Water and Wastewater Authority,acwwa.com,7135 S Tucson Way,,Centennial,CO,80112,64247,Water Authorities,"Arapahoe, Douglas"
Arapahoe Lake Public Park District,alakepoolandcourts.com,"7400 E. Orchard Road, Ste 3300","c/o Seter & Vander Wall, P.C.",Greenwood Village,CO,80111,03006,Metropolitan Districts,Arapahoe
Arapahoe Library District,arapahoelibraries.org,12855 E. Adam Aircraft Circle,,Englewood,CO,80112,64005,Library Districts,"Adams, Arapahoe"
Archuleta County,www.archuletacounty.org,PO Box 1507,,Pagosa Springs,CO,81147,04001,Counties,Archuleta
Archuleta County 50 JT School District,www.mypagosaschools.com,PO Box 1498,,Pagosa Springs,CO,81147,64909,School Districts,"Archuleta, Hinsdale"
Archuleta County Housing Authority,,PO Box 1463,,Pagosa Springs,CO,81147,04010,County Housing Authorities,Archuleta
Arickaree R-2 School District,www.arickaree.org/,12155 County Road NN,,Anton,CO,80801,61901,School Districts,Washington
Arikaree Groundwater Management District,,"5462 County Road, TT",,Cope,CO,80812,64006,Ground Water Management Districts,"Washington, Kit Carson, Yuma, Lincoln"
Arista Local Improvement District,,1 Des Combes Drive,c/o City and County of Broomfield,Broomfield,CO,80020,65408,Local Improvement Districts (County),Broomfield
Arista Metropolitan District,aristametropolitandistrict.com/,"7555 E. Hampden Ave., Suite 501",c/o Public Alliance LLC,Denver,CO,80231,65119,Metropolitan Districts,Broomfield
Arkansas River Conservancy District,,1920 Ambassador Thompson Blvd.,,Las Animas,CO,81054,06010,Water Conservancy Districts,Bent
Arkansas River Power Authority,,PO Box 70,,Lamar,CO,81052,64215,Power Authorities,"Bent, Baca, Las Animas, Prowers, Otero"
Arkansas Valley Ambulance District,www.crsofcolorado.com/arkansas-valley-ad/,8274 US Highway 50,,Howard,CO,81233,67020,Ambulance Districts,Fremont
Arriba Cemetery District,,62630 County Road 44,,Arriba,CO,80804,37001,Cemetery Districts,Lincoln
Arriba Housing Authority,,PO Box 165,,Arriba,CO,80804,37011,Housing Authorities (Municipal),Lincoln
"Arriba, Town of",townofarriba.colorado.gov,PO Box 10,711 Front St.,Arriba,CO,80804,37002,Statutory Towns,Lincoln
Arriba-Flagler C-20 School District,www.colorado.gov/pacific/af20,PO Box 218,,Flagler,CO,80815-0218,64928,School Districts,"Kit Carson, Lincoln"
Arriola Cemetery District,,16610 County Road 20,,Cortez,CO,81321,42001,Cemetery Districts,Montezuma
Arrowhead Colorado Metropolitan District,acmdco.specialdistrict.org/#/,"450 East 17th Avenue, Suite 400","c/o McGeady Becher Cortese Williams, P.C.",Denver,CO,80203-1254,68084,Metropolitan Districts,Douglas
Arrowhead Fire Protection District,www.arrowheadfire.org,PO Box 233,,Cimarron,CO,81220,65850,Fire Protection Districts,Gunnison
Arrowhead Metropolitan District,www.arrowheadmetrodistrict.org,"28 Second St., #213","c/o Marchetti & Weaver, LLC",Edwards,CO,81632-0600,19001,Metropolitan Districts,Eagle
Artesia Fire Protection District,,PO Box 39,,Dinosaur,CO,81610,41001,Fire Protection Districts,Moffat
Arvada Fire Protection District,www.arvadafire.com,7903 Allison Way,,Arvada,CO,80005,30003,Fire Protection Districts,Jefferson
Arvada Housing Authority,,8101 Ralston Road,,Arvada,CO,80005,64165,Housing Authorities (Municipal),"Adams, Jefferson"
